pre_tax_amount,tax,post_tax_amount,amount_tendered
2.94,0.21,3.15,3.15
2.99,0.07,3.06,20.06
0.99,0.06,1.05,2
2.59,0.08,2.67,5.75
13.21,0.63,13.84,13.84
4.38,0.11,4.49,4.49
3,0,3,3
30,0.25,30.25,40.25
11.5,0.04,11.54,12
21,0,21,21
1.29,0.09,1.38,1.38
12.09,0.12,12.21,20
26.62,0,26.62,26.62
43.78,0,43.78,43.78
2.19,0.15,2.34,2.34
5,0.15,5.15,5.25
6.18,0.11,6.29,20
2.19,0,2.19,3
2.18,0.05,2.23,3
4.98,0.35,5.33,10
3.79,0.27,4.06,5
5,0,5,5
3.45,0.09,3.54,5
1,0,1,1
17.83,0,17.83,17.83
17.74,0.39,18.13,20
27.5,0,27.5,27.5
15.7,0,15.7,15.7
3.14,0.16,3.3,3.3
3.44,0.24,3.68,3.68
0.99,0.02,1.01,1.01
18,0,18,18
1.29,0.09,1.38,1.5
5.87,0.41,6.28,10
6.34,0.44,6.78,7
2.38,0.17,2.55,5
44.16,0,44.16,44.16
25,1.75,26.75,27
5.31,0.21,5.52,10.02
1.98,0.14,2.12,2.12
7.64,0.33,7.97,7.97
0.5,0,0.5,1
1.79,0.09,1.88,2
6.14,0.11,6.25,10
10,0.7,10.7,100.7
2.94,0.18,3.12,3.12
42.4,0.15,42.55,42.55
5.01,0,5.01,20.05
24.55,0,24.55,24.55
0.75,0.03,0.78,0.78
8.26,0.58,8.84,10.85
2.48,0.22,2.7,3
3.97,0.36,4.33,10
15.01,0,15.01,15.01
5.1,0.21,5.31,10
13.24,0,13.24,13.24
22.18,0,22.18,22.18
30.27,0,30.27,30.27
5,0,5,10
20.28,0,20.28,20.28
1.19,0.08,1.27,1.27
0.99,0.07,1.06,2
3.18,0.22,3.4,5
12.07,0,12.07,12.07
5.68,0.28,5.96,10
1.39,0.03,1.42,5
2,0.05,2.05,2.05
2.57,0.17,2.74,3
1.29,0.04,1.33,1.33
5,0.1,5.1,5.1
26.49,2.45,28.94,40
3.17,0,3.17,5
10,0,10,10
1,0.05,1.05,1.25
4.28,0.3,4.58,5
42.84,0,42.84,42.84
1,0.02,1.02,5.02
0.99,0.09,1.08,1.08
10,0,10,10
12.07,0,12.07,12.07
0.99,0.07,1.06,1.25
5.01,0,5.01,5.01
5.17,0.24,5.41,10
2.54,0.14,2.68,3
0.3,0.01,0.31,0.31
0.99,0.09,1.08,1.25
3.56,0.15,3.71,20
50,0,50,50
11.47,0.57,12.04,20
4.23,0.23,4.46,5.5
8.14,0.61,8.75,8.75
80,0,80,100
22,0,22,22
6.18,0.54,6.72,7
31.1,0,31.1,31.1
10.01,0,10.01,10.01
18.72,0,18.72,20
5,0,5,5
2.58,0.23,2.81,10
9.38,0.26,9.64,10
1.28,0.04,1.32,1.32
1.54,0.11,1.65,2
3.99,0.37,4.36,20
18,0,18,18
40,0,40,40
37.2,0,37.2,37.2
50,0,50,50
40,0,40,50
2.19,0.2,2.39,2.39
1.69,0.03,1.72,20
10,0,10,10
40,0,40,40
0.99,0.05,1.04,1.04
3.87,0.12,3.99,4
10,0,10,10
18.3,0,18.3,20.3
15.57,0.78,16.35,20
3.18,0.29,3.47,4
3.17,0.14,3.31,3.31
0.79,0.07,0.86,1
20,0,20,20
9.73,0.58,10.31,11
2.18,0.15,2.33,5
6.48,0.41,6.89,10
29,0,29,40
20.99,1.47,4,4
0.99,0.07,1.06,5
2.79,0.2,2.99,5
5.32,0.02,5.34,10
0.69,0.06,0.75,0.75
1.09,0.08,1.17,1.17
2.19,0.07,2.26,2.3
11.15,0,11.15,11.15
7.33,0.51,7.84,10
4.23,0.3,4.53,5
5,0,5,5
1.84,0.13,1.97,2
30.02,0,30.02,30.02
31.68,0,31.68,40
1.69,0.09,1.78,1.78
50,0,50,50
90.16,0,90.16,90.16
30,0,30,30
5.37,0.32,5.69,6
0.25,0.02,0.27,0.27
12.98,0.11,13.09,13.1
7.09,0.66,7.75,8
85,0,85,85
40,0,40,40
1,0,1,1
4.76,0.33,5.09,10
1.39,0.07,1.46,2
27.25,0,27.25,27.25
2.64,0.18,2.82,2.82
0.99,0.05,1.04,1.04
3.04,0.15,3.19,4
42.29,0,42.29,42.29
26,0,26,26
41.68,0.55,42.23,42.23
5.72,0.4,6.12,20
4.47,0.13,4.6,10
12.09,0.71,12.8,12.8
1.38,0.06,1.44,2
10,0.7,10.7,21
20,0,20,20
4.06,0,4.06,4.06
5.83,0.41,6.24,7
10.15,0.41,10.56,11
9.92,0.47,10.39,20.5
0.59,0.04,0.63,1
27.39,0,27.39,27.39
1.19,0.07,1.26,1.26
1.29,0.04,1.33,1.33
0.9,0.06,0.96,0.96
50,0,50,50
5,0.35,5.35,5.35
4.67,0.33,5,5
0.69,0.05,0.74,0.74
2.18,0.15,2.33,3
52,0,52,52
3.68,0.14,3.82,5
6.57,0.46,7.03,20
3.28,0.29,3.57,4
22.04,0,22.04,22.04
0.3,0.01,0.31,0.31
1.29,0.12,1.41,5.41
45.01,0,45.01,45.01
47.01,0,55,55
60,0,60,60
4.77,0.24,5.01,5.01
20,0,20,20
5.19,0.22,5.41,5.41
26,0,26,26
2.19,0.11,2.3,10
10,0,10,10
1.19,0.04,1.23,2
5.65,0,5.65,5.65
6.99,0.63,7.62,10
17.19,0.15,17.34,20.34
1.69,0.1,1.79,2
20.01,0,20.01,20.01
6.49,0,6.49,20
10.16,0.53,10.69,11
15.09,0.36,15.45,20
10,0,10,10
2.89,0.2,3.09,20
1.49,0.13,1.62,20
25,0,25,25
5.91,0.28,6.19,10
43,0,43,50
47.44,0.39,47.83,48
10,0,10,20
10,0,10,20
10.38,0.52,10.9,10.9
24.23,0.18,20,20
0.89,0.08,0.97,5
10,0,10,10
1.29,0.09,1.38,1.38
0.94,0.02,0.96,20
1.15,0.02,1.17,2
0.55,0.01,0.56,1
12,0.06,12.06,12.06
0.99,0.09,1.08,1.08
2.37,0.11,2.48,5
40,0,40,40
0.59,0.04,0.63,1.03
1.69,0.05,1.74,2
14.79,0.04,14.83,15
164.87,0,164.87,164.87
0.99,0.09,1.08,1.08
26,0,26,26
1.29,0.11,1.4,5
34.46,0,34.46,34.46
10.01,0,10.01,10.01
30,0,30,30
1.59,0.05,1.64,2
3.27,0.14,3.41,3.41
25.02,0,25.02,25.02
17.25,0,17.25,17.25
25,0,25,25
2.99,0.09,3.08,3.08
5.55,0.39,5.94,20
10,0,10,20
1.39,0.03,1.42,2
33.19,0,33.19,33.19
2.14,0.12,2.26,20
24.74,0,24.74,24.74
10,0,10,10
2.35,0.21,2.56,3
0.99,0.07,1.06,2
5,0.25,5.25,5.25
1.19,0.03,1.22,2
36.5,0,36.5,36.5
3,0,3,10
3.24,0.16,3.4,10
2.09,0.15,2.24,2.24
1.29,0.04,1.33,5
1.19,0.08,1.27,1.27
34,0,34,34
5,0,5,5
14.4,0,14.4,14.4
36.36,0,36.36,36.36
36,0,36,40
12.48,0.12,12.6,20
18.35,0,18.35,20
1.59,0.08,1.67,1.75
5,0,5,5
5.84,0.29,6.13,6.13
2.27,0.19,2.46,3
10.35,0,10.35,50.35
26,0,26,26
29,0,29,29
26,0.4,20,20
1.15,0.06,1.21,1.21
38.16,0,38.16,40
0.99,0.07,1.06,2
28.07,0,28.07,28.07
51.53,0,51.53,60
25,0,2,2
39.71,0.39,38.1,40
2.64,0.18,2.82,20
111.41,0.08,111.49,150
20,0,20,20
4.7,0.43,5.13,5.13
10,0,10,10
4.57,0.41,4.98,4.98
6.23,0.02,6.25,7
17.06,0,17.06,17.06
4.77,0.39,5.16,10
15,0,15,15
15,0,15,20
2.89,0.14,3.03,5.25
4.03,0.2,4.23,4.23
4.19,0.29,4.48,20.5
28.96,0,28.96,28.96
5.22,0.23,5.45,20
24.58,0,24.58,24.58
22,0,22,22
6.32,0.38,6.7,7
30.05,0.09,30.14,30.25
11.39,0.73,12.12,12.12
22.98,1.61,24.59,24.59
2.97,0.09,3.06,5.06
1.19,0.08,1.27,1.27
6.22,0.31,6.53,10
50,0,50,50
70,0,70,70
27.3,0,27.3,50
3.77,0.22,3.99,5
2.87,0.07,2.94,3
3.98,0.2,4.18,5
11.49,0.1,11.59,50
2.58,0.08,2.66,5
5.65,0,5.65,5.65
28.92,2.03,20,20
4.96,0.18,5.14,10
0.25,0.02,0.27,1
9.56,0.67,10.23,10.23
25.83,0,25.83,25.83
20,0,20,20
50,0,50,50
20,0,20,20
10.31,0.72,11.03,21.05
0.98,0.07,1.05,2
5.78,0.29,6.07,6.07
3.58,0.18,3.76,10
2,0,2,2
0.99,0.05,1.04,1.04
2.19,0.13,2.32,2.32
1,0.05,1.05,2
12.36,0.62,12.98,20
2.34,0.12,2.46,5
2.98,0.27,1,1
10,0,10,10
2.58,0.11,2.69,2.69
18.47,0,18.47,18.47
18.02,0,18.02,18.02
2.29,0.16,2.45,2.45
1.09,0.05,1.14,1.25
4.73,0.27,5,5
2.98,0.21,3.19,3.19
3,0,3,3
6.99,0.49,7.48,10
0.79,0.02,0.81,5.01
3.64,0.33,3.97,3.97
6,0,6,6
5.04,0.08,5.12,5.12
10,0,10,10
1.15,0.02,1.17,2
12.9,0.14,13.04,13.04
15,0,15,15
1.19,0.06,1.25,1.25
0.99,0.07,1.06,1.1
1.29,0.08,1.37,2
1.29,0.09,1.38,2
38.01,0,38.01,40.01
4.98,0.35,5.33,6
3.99,0.28,4.27,5
2,0,2,10
20.6,0,20.6,20.6
1.29,0.08,1.37,1.37
4.72,0.24,4.96,5
2.38,0.07,2.45,3
10,0,10,10
7.81,0.45,8.26,10.26
6.97,0.49,7.46,20
30,0,30,30
25,0,5,10
17,0,17,17
4.43,0.22,4.65,10
1.59,0.11,1.7,100
2.99,0.15,3.14,5
3.08,0.08,3.16,5
35.98,0,35.98,35.98
1.19,0.03,1.22,1.25
2.57,0.18,2.75,3
15,0,15,15
1.98,0.14,2.12,5.15
28.01,0,28.01,28.01
1.29,0.03,1.32,1.35
1.98,0.14,2.12,3
81.09,0,81.09,81.09
6,0,6,6
25,0,25,30
1.69,0.1,1.79,2
15.78,0.33,16.11,20
6.28,0.31,6.59,10
