cat_name,desc,price
Foodservice Prepared On-site,PLU PIZZA 8.99,8.99
Automotive Products,AUTO PYROIL ANTIFREEZE GALLON,7.99
General Merchandise,GEN THRIFTY CORN BROOM,7.99
General Merchandise,SUN SUNGLASS LYNX WRAP     #98081,7.99
General Merchandise,SUN SUNGLASS CAPPUCINO     #99092,7.99
General Merchandise,SUN SUNGLASS UPTOWN        #99094,7.99
General Merchandise,SUN SUNGLASS POLAR LYNX 5  #99097,7.99
General Merchandise,SUN SUNGLASS COOL LYNX     #99098,7.99
General Merchandise,SUN SUNGLASS ALPINE        #99093,7.99
General Merchandise,SUN SUNGLASS WILDCAT II,7.99
Health & Beauty Care,MOUTH ORAGEL EXTRA STRENGTH BONUS,7.99
Health & Beauty Care,PILLS MAGNUM CAFFEINE 30 CT,7.99
Health & Beauty Care,PILLS MAGNUM CAFFEINE 357,7.99
Health & Beauty Care,PILLS EPHREDINE MINI 2WAY 200MG 60CT,7.99
Health & Beauty Care,PILLS EPHREDINE MINI 2WAY 200MG 60CT,7.99
Health & Beauty Care,PILLS EPHEDRINE PLUS ASTHMA (SUB),7.99
Health & Beauty Care,PILLS EPHEDRINE MINI 2WAY 60CT,7.99
Health & Beauty Care,SHAVE GILLETE SENSOR CARTIDGES 5 CT,7.99
Health & Beauty Care,SUN HT COOL ALOE PLUS,7.99
General Merchandise,BOOK THE WIN-WIN BOOK  YEPREMIAN,7.95
Packaged Ice Cream/Novelties,IC    HGAL  SVF SS IC MIX 6% VAN,7.9
Packaged Ice Cream/Novelties,IC    HGAL  SVF SS IC MIX 6% CHOCO,7.9
Packaged Beverages,PLU COKE  24PK,7.58
Health & Beauty Care,MOUTH ANBESOL ORAL ANTISEPTIC,7.39
Health & Beauty Care,COLD COMTREX COLD REL LIQU-GEL 24 CT,7.29
Health & Beauty Care,COLD COMTREX COLD TABLETS 24 CT,7.29
Health & Beauty Care,SINUS SINUTAB MAX STR TABLETS 24CT,7.29
General Merchandise,FILM KODAK FILM 35MM ASA 400,6.99
General Merchandise,BUG RAID WASP HORNET AERO 14 OZ,6.99
General Merchandise,SUN SUNGLASS ESPRESSO      #98082,6.99
